,titles,ratings,reviews,dates,replies,reply_dates
169,Chaine froid pas respecté,2,"Remis au frais des articles restés un moment hors du frigo, faiirectres attention prendre tout au fond et n ont pas voulu accepter mes bons de réduction",2022-12-12T15:54:53.000Z,,
170,arnaque totale chez leclerc,1,"produit acheté sur le site internet e.leclerc,jamais livré, impossible de se faire rembourser, service clients incompétant,ne propose aucune solution.
FEVAV saisie",2022-11-28T19:04:23.000Z,,
171,A fuir .....,1,"Commande passée le 18 novembre,  livrable entre le 19 et le 21 nov en magasin , aujourd'hui 30 novembre impossible de savoir ou est mon colis , il aurais été expédié mais pas de suivi , le service client( par téléphone puisqu'ils n ont jamais répondu à mes mails)vous balade a chaque appel en vous promettant une réponse dans la journée. On me refuse l annulation de la commande puisqu' une ""enquête logistique "" est en cours . Je dois donc attendre un retour de leur part . Et si je refuse la commande lorsqu'elle sera arrivée au magasin ( si ça arrive un jour) je devrai attendre 14jours après le retour du colis a l entrepôt pour être remboursé.  Il n y a plus qu a espérer que le colis mettent moins de temps au retour qu a l aller sinon je serai remboursé en 2023 . 
J aurais du vérifier les avis clients avant de commander,  je ne me suis pas méfier d une grande enseigne.....",2022-11-30T11:08:28.000Z,,
172,Abri de jardin commandé et réglé le…,1,"Abri de jardin commandé et réglé le 28mai 2022 livraison à partir du 26 juillet 
N’ayant aucune nouvelle nous avons appelé toutes les semaines jusqu’à ce jour et toujours pas d’abri de jardin nous annulons notre commande 
Le fournisseur d’abris n’ayant pas respecté les délais d’aprés Leclerc on nous dit que sur le remboursement demandé on va nous retenir la somme de 200€ 
Je leur ai demandé si c’était une plaisanterie et que je serai moi en mesure de leur réclamer des indemnités 
Depuis nous attendons donc le remboursement en ayant la certitude par mail que ces 200€ seront pris en charge par Leclerc 
Il faut peut être que nous les remercions ……
Par contre nous sommes toujours en attente de recevoir ce remboursement cela fait juste 6mois 
A éviter au maximum pour ne pas dire à fuir",2022-10-25T20:50:17.000Z,,
173,Lamentable,1,"Cliente en magasins Leclerc, j ai été vraiment très déçue du site.
Commande passée le 8/11/22 de Lego Star Wars (Faucon Millenium) pour l anniversaire de mon fils. (Heureusement j avais pris de la marge)
Sur le site il était stipulé livraison estimée le 12/11.
Le 17/11, en consultant le statut de ma commande, celle ci est toujours en préparation...j envoie donc un mail au service client. Aucun retour de leur part.
Le 21/11, j appelle et on me dit qu il se renseigne auprès de la logistique et que l on me tiens au courant.
Je m aperçois le 23/11 en consultant mon compte, que Leclerc m a remboursé et donc annulé ma commande.
Aucun mail pour prévenir, 0 communication.
Vous avez vraiment un gros travail a faire a tous les niveaux car aujourd'hui service à tous points de vue lamentable.
Une chose est certaine c'est que je ne recommanderais plus dur votre site.",2022-11-24T06:24:13.000Z,,
174,Site peu sérieux à fuir,1,"E.Leclerc : C’est toujours la même litanie avec ce site, une répétition de commandes partiellement ou non livrées et aucune prise en compte des relances par courriels ou téléphone ou pour seule réponse, on enquête et reviens vers vous, ce qui n'a pas été le cas ! Pour ma part, 10 bouteilles de vins commandées pour 100 euros il y a 6 semaines, 4 reçues et 6 toujours en attente de prise en charge pour la livraison dans le suivi. 6 relances par courriels et 1 par téléphone avec aucune réponse au problème. Demande de remboursement également non prise en compte.  Ce rôle d’intermédiaire peu sérieux de E.Leclerc favorise une véritable arnaque de fournisseurs peu scrupuleux en se dédouanant de tous problèmes que ceux-ci génèrent. Que pense Mr Edouard Leclerc de ces pratiques commerciales bien peu honorables liées à son nom ? Site à fuir et en informer tout vos contacts et autres via les réseaux sociaux.",2022-12-05T12:43:52.000Z,,
175,"Service médiocre,de même que leur…",1,"Service médiocre,de même que leur service client... fuyez !!!",2023-02-11T14:53:26.000Z,,
176,Service nul sur toute la ligne !!,1,"J'ai passé commande d'un ordinateur portable le 22/11  pour une livraison prévue entre le 23 au 25/11 : depuis le 25/11 le statut de la livraison restait bloqué Néanmois j'ai été débité immediatement de 499 euros !!  Après de multiples relances on m'informe le 17/12 que la commande ne sera pas honorée suite à un dysfonctionnement !!??( certainement colis perdu ou volé en logistique) et on m'informe ce jour que le service comptabilité a été sollicité pour me rembourser et que le délai de traitement est de 2 à 3 semaines !! 
Aucune proposition du service client de relancer une commande, ou me proposer une alternative, encore moins faire un geste commercial pour pallier à cet incident !! Je pense sincèrement que E.leclerc a une piètre considération de la clientèle et un niveau de compétence bien bas dans la vente internet !!Amazon et consorts ont de beaux jours devant eux avec ce type de concurrent !! ( Je mets 1 étoile vu que l'on ne peut mettre plus bas !!)",2022-12-19T15:44:22.000Z,,
177,Première expérience du service Chezmoi,1,"Première expérience du service Leclerc Chezmoi de courses et livraison à domicile.

Le site fonctionne bien et la commande est simple à passer. Mais la livraison s’est très mal passée : des produits en trop et d’autres manquant, probablement une inversion de sacs. Le livreur n’a été d’aucune aide car « je ne suis qu’un livreur », même pas pour prévenir son responsable. Le numéro du service client est difficilement trouvable, j’ai été redirigé entre différents services avant d’avoir quelqu’un qui puisse gérer le problème. Le minimum d’effort a été fait en émettant un avoir pour les produits manquants.

De plus je soupçonne que la chaîne du froid à été rompue contrairement à leur engagement sur le site : les cartons de surgelés sont arrivés détrempés d’humidité, le contenu semblait quand même sauvable.",2022-10-28T21:39:04.000Z,,
178,Commande de jouets passée le 13…,1,"Commande de jouets passée le 13 novembre avec une livraison estimée au 16 novembre. Une semaine plus tard la commande est toujours ""en préparation"" (l'argent est lui bien débité). Je m'en inquiète d'abord par mail (AUCUNE réponse), puis par téléphone. Je dois avoir des nouvelles dans les 48h (RIEN). Encore une semaine plus tard je rappelle, le service client me dit qu'il relance, je réponds que ça ne m'avance vraiment pas dans mes démarches, que je souhaite acheter les articles en magasin pour profiter des promotions qui se termine dans quelques jours à peine... On me répond qu'on ne peut vraiment pas m'en dire plus, ni me rembourser avant que la commande ne soit livrée (pardon ??). Finalement j'ai une commande dans la nature, un service client qui ne m'apporte pas l'ombre d'une réponse et de nouveaux achats sur les bras pour ne pas risquer de décevoir les enfants pour Noël. À fuir absolument.",2022-12-01T16:40:53.000Z,,
179,J'ai fait une commande le 10 décembre…,1,"J'ai fait une commande le 10 décembre 2022 chez eux pour un ordi portable gamer. Et vu que je suis étudiant j'ai dû économiser pendant quelques mois pour enfin pouvoir me l'acheter. Au départ il y avait une livraison estimée au 13 alors j'ai bien attendu mais il n'y avait rien qui arrivait. J'ai donc essayé d'appeler plusieurs fois le service client mais ils m'ont enfin répondu que le 20 décembre où on m'a parlé de mon colis qui a été égaré. J'ai donc demandé un remboursement et j'attends toujours depuis. Ça fait un mois que j'ai dépensé tout ce que j'avais pour qu'à la fin j'ai rien du tout et que j'attende pour rien. En tout cas, je ne commanderai plus jamais chez eux, moi je veux juste mon remboursement, c'est du grand n'importe quoi ! 

1. Les contrôles DGCCRF sites e-commerce articles/avocat-Les-controles-DGCCRF-sur-les-sites-e-commerce/)
Gouache Avocats 

À défaut d'indication de cette date ou de ce délai ou à défaut d'accord exprès entre les parties, le professionnel doit livrer le bien ou exécuter la prestation de service sans retard 
injustifié et au plus tard trente jours après la conclusion du contrat de vente en ligne",2023-01-12T14:01:41.000Z,,
180,Vendeur en ligne en dessous de tout,1,"Vendeur en ligne en dessous de tout. Commande (n° DIHIIE9VSJ-1) le 31/10/2022. Livraison estimée entre le 2 et le 4 novembre dans un hypermarché Leclerc. Carte bancaire de 110 € débitée sans aucun retard, le 3. Sur “suivre mon colis”, l’article commandé ne dépassera jamais le stade de “en attente de prise en charge”. Méls sans réponses. Appels téléphoniques tout aussi infructueux : à chaque fois, un(e) récitant(e) qui, à l’évidence, lit un scénario qui défile sur un écran, rabâche le même argumentaire “Il faut attendre le résultat de l’enquête logistique en cours”. Au fil des appels, le délai d’enquête passe de 48-72 heures à 8 puis 10 jours. Alors que nécessairement, l’article commandé n’est pas sorti du circuit Leclerc. A chaque fois, refus d’annuler et de rembourser. La mauvaise foi est totale. Le cadeau d’anniversaire attendra l’année prochaine. A devenir fou. Je raye définitivement e-leclerc de mon vocabulaire. JL",2022-12-03T19:41:46.000Z,,
181,la vrai figure de leclerc,1,"Bonsoir, Je rentre de leclerc polygone a Perpignan dans lequel je fais mes courses depuis de nombreuses années.  Avec 2 chats a la maison je prends les litières en sacs de 7 L a 1 euros ou 1.15 environ.
Alors non ils n'ont pas augmenté le produit, Ils l'ont tout simplement supprimé ! et les rayons débordent de litières en emballages cartonnés (pas très ecolo comme choix) mais il doit y avoir moitié moins de litières pour un prix qui a plus que triplé entre 3 et 4 euros... mais quelle mentalité vraiment écœurante! Surtout lorsque vous les entendez faire partout partout partout leur auto promotion a se présenter comme les chevaliers blancs de la lutte contre l'inflation a nos côtés. Voyez la solidarité,  regardez les œuvrer pour se goinfrer goinfrer sur les marges d'un produit dont on ne peut se passer sauf à manger nos chats peut être? Bref j'ai donné clairement mon avis sur le sujet a l'accueil du magasin en leur disant que s'ils ne remettent pas le produit a la vente, j'irais définitivement faire mes courses ailleurs a déduire donc des marges mirobolantes attendues sur leurs nouvelles litières. Je suis vraiment totalement dégoûté et épuisé de l'état d'esprit qui anime ce monde cupide malsain et dénué de scrupules. 
Indignez vous les gens.",2023-01-21T21:17:13.000Z,,
182,Commande annulée !,1,"Passé commande le 07/12 qui devait arriver en magasin le 12/12, suivi "" en préparation"" pendant des jours puis ""en attente de validation"", 1er mail le 15 "" lancement d'une enquête"" le 19 j'appelle on m'annonce un problème de leur côté... On annule ma commande ( les cadeaux de noël de mes enfants) Je dois donc justifier du prélèvement sur mon compte sachant que le téléconseiller a bien vu que cela a été facturée, bien-sûr prélevé dès le 08/12 aucun soucis pour prendre l'argent.... Bien évidemment si je n'avais pas appelée je n'avais aucune nouvelles ! Mes enfants n'auront rien sous le sapin car je n'ai pas les moyens de racheter une seconde fois. Pour le temps de remboursement a part le dire "" on va faire ce qu'on peux""... vous avez intérêt de faire vite ! Le site de Leclerc c'est fini pour moi ! Et encore hier sur le site ""livraison avant Noël si commande jusqu'au..."" Non mais la blague ! J'aurai honte a votre place car je ne doit pas être la seule à qui vous avez ruiné le noël de leurs enfants !",2022-12-19T13:44:56.000Z,,
183,Vente en ligne a fuir !!!,1,"Vente en ligne a fuir !!!
Article acheté pendant le black friday avec livraison soit disant sous 24h. Résultat, 5 jours avant d'avoir un mail qui indique que c'est remis au transporteur. Aucun message pour prévenir que c'est disponible en point retrait en magasin Leclerc.
Une fois le colis réceptionné, et déballé, le produit a un défaut !
Contact service qui indique qu'il faut renvoyer le produit, avec photos et tout le tralala pour qu'ils constatent le défaut pour remboursement. Pas d'échange possible de produit neuf par un nouveau neuf, Leclerc propose uniquement le remboursement. Je me retrouve bien n.... maintenant pour acheter une nouvelle cafetière qui n'est plus en promotion (+30€ avec aucun geste commercialde Leclerc).
Et en plus, le service client m'indique qu'il faudra 10 jours environ pour être remboursé !!! Donc 10 jours sans café vu que ce n'est même pas sûr qu'ils remboursent.
Plus jamais Leclerc en ligne pour ma part !!",2022-12-03T17:54:08.000Z,,
184,J'ai passé une commande sur votre site…,1,"J'ai passé une commande sur votre site le 26 octobre livraison prévue le 30 octobre! J'ai passé cette commande par souci de tranquillité et pour me faciliter la vie et depuis début novembre ne voyant rien arriver, je suis en relation par mail ou par téléphone avec vos services idoines afin de résoudre ce problème, on ne me donne aucun délai!!! seule réponse : ""tant qu'on ne sait pas où est votre colis on ne peut pas vous rembourser,  le dossier a été transféré a un service interne qui devrait répondre""!... aucun délai de fixé! aucun suivi! j'ai dû réinvestir et racheter ce que j'avais commandé et on ne veut pas me rembourser tant que ce colis ""fantôme"" n'a pas été  retrouvé!!
Et pourtant on est bien d'accord je n'y suis pour absolument rien ce n'est pas moi qui n'ai pas respecté les délais???
 Et on tournant rond et on tourne en rond!!  vraiment j'espère que je suis une exception car c'est vraiment kafkaïen et déplorable!!! Très déçue!!!",2022-11-16T21:39:50.000Z,,
185,produit non livré (enceinte bluetooth),1,"produit non livré (enceinte bluetooth)
15 jours après impossible de se faire rembourser, il faut attendre dixit leur service.
Aucun recours possible",2022-11-03T11:47:30.000Z,,
186,Je mets une étoile et encore je ne…,1,"Je mets une étoile et encore je ne devrai rien mettre !!!!
Commande passée en novembre pour un jouet pour Noël... Contact le SAV par mail 1 semaine après la date prévue de livraison où on me dit de patienter et d'éviter de relancer... Plusieurs mails de relance. Au final, j'appelle et je demande un remboursement où on me dit pas de soucis vous aurez un retour dans quelques jours. Pas de nouvelles donc nouvel appel et là on me dit on ne peut pas vous rembourser car on ne sait pas où est votre colis et qu'effectivement ils ont eu un souci informatique. Énervement et là la personne me dit c'est bon on va vous rembourser (17/12). Je lui demande un mail avant de raccrocher. Quelques jours plus tard je reçois un mail m'informant que mon colis est disponible sauf que je l'ai acheté ailleurs vu qu'il me le fallait impérativement pour Noël. Je fais donc un nouveau un mail où on me demande de récupérer mon colis et ensuite de faire un retour : chose que je refuse vu que j'ai un mail stipulant que ma commande n'a pu être honorée. On me dit Ok le magasin va nous retourner le colis (04/01) et on vous rembourse.
Aujourd'hui je relance car je n'ai toujours pas de remboursement et là on me dit normal votre colis est toujours en point relais....
Sauf que sur leurs CGV, il est stipulé qu'on a 5 jours pour récupérer le colis et que sinon la commande est annulée.
J'ai donc décidé de saisir le médiateur car mon histoire dure depuis 2 mois...",2023-01-26T16:57:41.000Z,,
187,"TRES MAUVAISE EXPERIENCE. LECTEURS, FUYEZ CE SITE. NE COMMANDEZ PAS",1,"Je mets 1 étoile car on ne peut pas mettre moins. Dommage. J'ai commandé du vin le 08/12. Il devait être livré le 12/12 au plus tard. Le statut de ma commande restant ""en attente de validation"", j'ai contacté le ""service client"" le 12/12. Lancement d'une enquête logistique à leur niveau. Le 15/12, sans nouvelle, je rappelle. On me répond qu'il y a eu un problème dans le traitement  de ma commande. Le vin est en stock mais pas possible de le livrer à moins de repasser une commande. Seule possibilité proposée: le remboursement sous réserve que j'envoie un justificatif du débit de ma carte. Justificatif adressé dans la foulée de la com téléphonique.  Le 20/12, toujours aucune nouvelle. Je rappelle. On me répond qu'il y a un problème pour le remboursement mais la téléconseillère est incapable de m'en dire +.Elle fait un message au service compta pour que je sois informé de la suite donnée. TRES MAUVAISE EXPERIENCE. LECTEURS, FUYEZ CE SITE. NE COMMANDEZ PAS. Faites passer le message à votre entourage. Les commandes ne sont pas envoyées . Les remboursements ne sont pas réalisés. Par contre, votre CB sera bien débitée. LAMENTABLE LECLERC",2022-12-20T19:42:09.000Z,,
188,Merci à Leclerc pour cet arnaque,1,"J ai acheté lors de la foire au vin du magasin Leclerc de Chateau Thierry 2 caisses de six bouteilles de champagne. Après ouverture de la première bouteille celui ci est trouble sans bulles, imbuvable! je ne m inquiète pas plus que cela! cela peut arriver!
la seconde ouverte chez des amis, confirme un résultat identique,
je m interroge?
La troisième offerte à un amis qui m informe que celle ci est de même qualité c est à dire imbuvable.

Je décide alors d en informer le magasin Leclerc, au point d accueil de ce magasin on me demande de rapporter les cartons achetés, car 
le sujet est connu le fournisseur de champagne est au courant et a rappelé les bouteilles vendues.

Je rapporte donc les 2 cartons achetés pour me faire remboursé, la personne de l accueil me demande pour le remboursement les bouteilles vides je lui explique que je ne les est plus, ces bouteilles sont restées sur place et lui signale que je ne garde pas les bouteilles vides consommées
La facture d’achat indique bien 2 cartons de six bouteilles achetés soit 12 bouteilles,  malgré cela le magasin me remboursera en bon d achat que 9 bouteilles 
Merci au magasin Leclerc pour cette arnaque !!",2022-12-24T15:09:03.000Z,,
189,Insatisfaction du service client et logistique,1,"J ai effectue une commande le 12 Decembre auprès de la parapharmacie en ligne pour mes cadeaux aux fêtes de Noël.
Collissimo m informe que mon colis va être livre le 16 Decembre et e Leclerc qu' il va être livre dans la journée.
Et après plus rien ! Sur le site de la poste il est toujours en preparation de livraison et sur le suivi de commande e Leclerc, il est en route.
J ai du me batailler avec Collissimo pour retrouver mon colis puisque Leclerc en ligne n a fait aucune démarche.
La poste m envoit ensuite le bordereau de livraison qui indique que mon colis a bien été livré le 16 Decembre au Magasin Leclerc de mon domicile mais lorsque je téléphone, personne ne le trouve.
Pour ne rien arranger, il manque mon nom et mon prenom sur le colis !
J en informe, le service clients qui me répond qu' il leur téléphone de suite.
Comme je suis sans nouvelles malgré mes appels, mes mails journaliers, mes formulaires de contact également journaliers, je decide de retelephoner au magasin Leclerc de mon domicile, a'l accueil pas de colis, au bureau de réception des colis, la réponse est pas de colis et vu qu ils n ont pas inscrit mon nom et mon,prénom, la recherche est difficile par ordinateur.
Je demande, s ils' ont été contacté par Leclerc en ligne. Pas du tout me répondent ils !!!!
En résumé, j ai fait tout le travail auprès de la poste à leur place et la, j apprends qu' ils ne se bougent pas plus.
Première et dernière fois que je commande sur ce site.",2023-01-15T14:57:16.000Z,,
190,"Une catastrophe, des pratiques douteuses !!",1,"Cela ne m'étonne pas que le site de E.Leclerc n'est pas de fiche GoogleMyBusiness, personne ne se ferait avoir car personne ne cliquerez sur le site en voyant leur note. Merci TrustPilot d'exister. 
J'ai commandé un smartphone à 859€ le 21/10, payé comptant, la livraison devait avoir lieu 5 jours plus tard. Un cashback de 30% en tickets leclerc était prévu à l'envoi de la commande. 24h aprés la commande je reçois le cashback sur ma carte Leclerc. Cependant, la commande n'est pas expédiée. Un mois plus tard, après 3 appels au service client  : le 1er m'indiquant que ma commande part le lendemain, le 2ème qu'il y a un problème de stock, le 3ème qu'il y a un ""défaut de paiement et que je vais être remboursé"", relisez bien cette phrase incohérente. J'ai donc fais 1 recommandé au siège, un signalement à la DGCCRF, j'ai eu un remboursement de ma commande 1 mois plus tard, sauf qu'ils m'ont déduit le cashback du montant total du remboursement, donc ils m'obligent à consommer chez eux. Des pratiques plus que douteuses, à la limite de la légalité. Je n'ai, à ce jour, toujours aucun retour du service client. Fuyez, mais alors fuyez le plus vite possible, ne commandez jamais sur ce site.",2022-11-24T15:55:29.000Z,,
191,À boycotter! Service client honteux,1,"Colis commandé le 25 octobre, le 27 octobre il est arrivé en magasin et il est spécifié que j’avais 15 jours ouvrés pour le retirer. Je m’y rends le 4 novembre et on m’apprend que le colis venait d’être renvoyé parce que c’était 7 jours et non 15 (c’est nouveau?!). Pour contacter le service client, c’est une horreur, que ce soit par mail, via notre compte ou par téléphone (d’ailleurs le téléphone sur leur site est faux, je l’ai trouvé sur un site tiers). La personne que j’arrive à joindre n’est pas très utile et me dit d’appeler colissimo pour suivre le paquet. J’apprends que mon colis est toujours au point retrait, donc soit Laposte, soit Leclerc a menti. Je décide de laisser tomber et d’attendre le remboursement puisque la personne m’a dit que ce serait automatique. Mais on est le 4 décembre et j’attends toujours alors que le colis a VRAIMENT été retourné le 9 novembre (mail cette fois-ci). J’ai enfin réussi à les contacter par mail le 24 novembre et leur réponse automatique a le culot de demander de ne pas les relancer à cause du nombre de demandes. Mais posez-vous les bonnes questions?! Arrêtez les livraisons si vous êtes si mauvais?! C’est juste honteux de faire perdre du temps et de voler l’argent des clients. À boycotter!",2022-12-04T21:12:27.000Z,,
192,Pitoyable,1,"Bonjour,

J'ai passé commande pour un ordinateur portable HP le 27/11/2022 - livraison prévue entre le 29/11 et 01/12/2022. N'ayant toujours aucune nouvelle de ma livraison le 07/12/2022 j'envoie un mail au service client. Aucune réponse! donc le 12/12/2022 j'appelle le service client, personne très gentille (faut le dire), on me dit que le colis est entre les mains de chronopost et qu'ils vont les contacter (je fais de même de mon côté pour gagner en efficacité). Chronopost me confirme qu'ils ont bien mon colis qui se trouve à Brive. Ils m'affirment qu'ils me recontacteront avant le 15/12/2022. Nous sommes le 16/12 et bien évidemment aucune nouvelle. Je rappelle directement chronopost qui cette fois me dit ""votre colis est perdu il faut voir avec l'expéditeur"", donc je rappelle Leclerc qui me dit : ""en effet votre colis semble perdu, j'attends la confirmation officielle de chronopost et procède au remboursement"".
J'essaye donc d'expliquer à la personne au bout du fil que je ne veux pas d'un remboursement mais recevoir l'ordinateur que j'ai commandé au prix auquel je l'ai commandé. Oui parce que entre temps ils ont augmenté le prix de 399€ à 499€ (+25%!). 

Donc en gros on nous vend des choses à un prix intéressant (on ferre le poisson) pour que derrière on se retrouve coincé (Noël approchant à grands pas) à devoir recommander mais PLUS CHER !

Franchement c'est une honte ! Vous n'avez aucune considération pour vos clients c'est pitoyable",2022-12-16T12:47:32.000Z,,
193,Je trouve que vous êtes un peu moins…,1,Je trouve que vous êtes un peu moins cher. Normal la dlc est très courte.pas intéressé.,2022-11-15T21:57:51.000Z,,
194,Location calamiteuse d'un Dacia Spring…,1,"Location calamiteuse d'un Dacia Spring chez Leclerc Granville. Prise du véhicule avec ""informations"" qui se révéleront insuffisantes au néophyte que je suis, malgré quelques millions de km sur tous les types de véhicules.
Echec de la tentative de démarrage, retour à l'agence où une personne compétente cette fois me donne la ""clé"" en une seconde.
Voyage sans heurt la voiture elle est compétente.
De retour pour restituer la voiture, je vais recharger la batterie comme spécifié mais impossible d'ouvrir la borne, faute encore des informations minimum.
A nouveau la personne compétente me donne l'information manquante. Mais j'ai perdu trop de temps à tenter d'utiliser la borne et il est trop tard pour recharger, on me dit donc d'abandonner et de restituer l'auto en l'état.
De retour à l'agence je donne mon ressentis sur la carence d'information, raison notamment de la charge avortée de la batterie et précise l'instruction de ne pas recharger la batterie.
Je règle la facture et c'est de retour chez moi que je constate que 10 € pour charge de la batterie.
Je réagis par un mail immédiat stigmatisant carence de l'information et fourberie de la facturation.
Le ""responsable"" me répond et m'assure d'une réponse par retour.
Le délai n'est pas du tout respecté et la réponse de non recevoir. 
Ainsi le mépris de l'encadrement envers la clientèle s'ajoute à l'incompétence fourbe de personnel perfectible.",2022-11-25T22:17:31.000Z,,
195,Colis jamais livre,1,"Colis jamais livre
Remboursement pas fait depuis 3 semaines",2023-01-06T19:55:16.000Z,,
196,Caisse handicapée pas gérée comme il faut,1,"Réponse lamentable à une suggestion d’octroyer les caisses handicapées uniquement aux vrais porteur de carte prioritaire et femmes enceintes. 
Pour votre gouverne elle est pas faite pour tous les gens excités pressés que vous y acceptez. 

On m a répondu que faut aussi que les personnes âgées et pas très mobiles puissent l’emprunter 
Ben ok mais alors dans ce cas changez votre signalétique à la caisse handicapée et inscrivez que c’est réservé aux personnes âgées aux femmes enceintes et aux handicapés porteur de carte 
( et non pas accepter à cette caisse des gens mobiles qui peuvent aller à d’autres caisses ) 
On m a aussi répondu que on peut pas mobiliser une caisse juste pour handicapés par manque de personnel souvent absent ou malade. Mais c est pas notre problème ça. C est à vous de gérer ca. 
Vraiment lamentable vos réponses 

Donc, votre panneau handicapé avec une image de fauteuil handicapé n’est pas conforme au vu de vos réponses 
Ben oui faut avertir pour qui est faite cette caisse alors !!!!!
Il faut donc inscrire caisse réservée porteur carte mobilité, femmes enceintes et personnes âgés ou à mobilité réduite. 
Faut tout vous dites vous êtes incapables de penser à ça par vous même c est grave. 
Je vais écrire a la Direction du siège social de Leclerc car je trouve tout ça lamentable  

Leclerc sait même pas ce que signifie accès prioritaire en fait. 

Eh oui avoir un handicap avec une carte prioritaire c’est pas pour devoir faire la queue ou se retrouver avec une caisse pleine de personnes non prioritaire et devoir demander à la caissière si on peut passer devant tout le monde 

Vraiment lamentable de répondre de tels âneries car j ai une filleul handicapée mental qui s est faite rembarré une fois et on a répondu que fallait qu elle demande à la caissière de passer devant. 
Ben bien sûr, quand on a un handicap mental de naissance et qu on peut pas bien s’exprimer de plus, c’est une réponse intelligente de la part de leclerc ça !!!!
Répondre de telles âneries c’est pas croyable. 

En plus de ça, mettez donc des caissières qui ont un minimum de cervelle aux caisses handicapées, qu elles apprennent à reconnaître une personne ayant un vrai handicap aussi. 
Bref je foutrai plus les pieds chez leclerc",2023-02-04T06:24:14.000Z,,
197,Fuyez,1,"Honteux, délais, site internet, plateforme téléphonique",2022-12-17T21:47:20.000Z,,
198,Pourquoi les gens commandent sur Amazon…,1,"Pourquoi les gens commandent sur Amazon et pas ailleurs ? Parce qu'à chaque fois que l'on commande ailleurs (Leroy Merlin, Leclerc, etc), c'est la galère. Dernière expérience avec Leclerc. Ne sachant pas si le Leclerc Villiers sur Marne situé à 10kms a en stock la boite Lego® City - La Station Spatiale Lunaire - 60349, puisque au téléphone personne ne répond et afin d'éviter de se déplacer inutilement, nous tentons une commande le 08-12-2022 chez Leclerc via internet avec date estimée de livraison chez Leclerc Villiers sur Marne au 12-12-2022. Au 14-12-2022, toujours rien et sur le site Leclerc, pas d'indication claire. Le N° contact client 0 805 62 06 22 ne répond pas. Exemple : pendant le temps d'écriture de ce témoignage, jamais personne n'a répondu à ce N°. Donc nous nous rendons chez le Leclerc à Villiers sur Marne et à l'accueil la personne ne peut pas nous renseigner invoquant des services indépendants entre la vente physique et la vente en ligne. Nous allons dans les rayons et là nous constatons la présence de 10 boites de Lego® City - La Station Spatiale Lunaire - 60349; à l'accueil, la personne a été incapable de nous donner une explication sur ce micmac ni d'annuler la commande afin de récupérer l'article sur place. Nous attendons jusqu'au 15-12-2022 et cerise sur le gâteau, nous découvrons que sans aucune action ni demande de notre part, la commande a été annulée et remboursée. Conclusion : LECLERC = 0, Leclerc ne mérite même pas une étoile car son mode de gestion des commandes en ligne est complètement archaïque, nous perdons du temps et Leclerc, qui se vante être un chantre écologiste, nous oblige a polluer la planète pour rien car il a fallu retourner une 2ème fois chercher l'article, soit 40kms en voiture. Avec Amazon, nous n'avons JAMAIS eu de problème, aussi il ne faut pas ensuite venir pleurer et critiquer l'hégémonie du distributeur US au détriment des commerçants nationaux; il va falloir que ces derniers s'adaptent rapidement et se mettent à la page.",2022-12-15T19:31:26.000Z,,
199,On ne trouve plus rien !,1,,2022-10-31T01:34:14.000Z,,
200,achat d un chalet sur maison loisir…,1,"achat d un chalet sur maison loisir Leclerc ,un conseil fuyez ,délais de livraison non respecté ,pas de communication aucun suivi",2022-10-24T12:59:45.000Z,,
201,Vente en ligne à fuir absolument,1,"Vente en ligne à fuir absolument. Achat d'une tv le 15 octobre pour une livraison prévue entre le 17 et 19 octobre.
Jusque là, pas de problème.
Mais dès lors ou on vous l'a ve'du c'est le néant. Le 17 octobre vous avez un suivi du colis pour vous dire que la tv est en route mais pas de date de réception.
J'appelle le service client qui me confirme une livraison au magasin pour le 19. Puis ce sera la 20.
Et maintenant, la date est prevu pour le 24.
PAS DE MAIL POUR VOUS PREVENIR DU RETARD, NI MÊME UN SMS.
Si vous appelez pas, on vous previent pas et les infos que l'on vous donne sont déjà ce que vous voyez sur votre suivi client.
Dommage car c'est vraiment hormis le prix de la TV, la livraison ternie mon expérience achat. Donc je déconseille.
Num 1NZM58KQN51",2022-10-22T20:04:42.000Z,,
202,Honteux,1,"Honteux ! 
Précommande d'un jeu PlayStation.
Non seulement la commande n'a pas été honorée mais j'ai du les relancer x fois pour me faire rembourser. Et ils me proposent un bon d'achat de 5 € pour la gêne occasionnée.j'ai de la peine et honte pour eux . Normal qu'amazon soit le numéro un avec une telle incompétence",2022-10-22T06:55:14.000Z,,
203,Courses au Leclerc de Golbey,1,"Courses au Leclerc de Golbey. Manque d'hygiène de la caissière qui semblait avoir un rhume, reniflait sans arrêt et passait son doigt sous son nez qui coulait. Ne connaît visiblement pas les mouchoirs. Pas de masque ni de gants. Manipule nos articles, emballés ou non . Honteux et irresponsable.",2022-10-21T06:11:07.000Z,,
