,titles,ratings,reviews,dates,replies,reply_dates
14,C'est catastrophique,1,"C'est catastrophique, j'ai passé une commande pour un  pc portable.  Le colis n'est jamais arrivé.  il a été perdu par le transporteur. Ok ça arrive et je demande le remboursement. et là c'est le drame,  il s'abrite derrière leurs enquêtes et refuse de rembourser.  Alors que c'est contrairement à la lois.  Bref, vous passez commande chez eux, si le colis est perdu, vous n'avez plus que vos yeux pour pleurer.",2023-02-08T11:19:59.000Z,,
15,Soit disant réduction de 34% mais seulement  sur produits les plus chers,1,"Attention !Aujourd'hui  Leclerc faisait de la pub sur les radios affirmant qu'il fait 34% de réduction (reversée  sur la carte fidèlité) sur cafés, thés et infusions. Dans le rayons une affichette assez discrète  affirmait la même chose mais surprise à la caisse ! il y a des restrictions: La publicité ,ne concerne pas les produits éco et certains autres( il y a soit disant une toute petite ligne sur l'affichette!) Donc méfiance! Aujourd'hui c'est pour les cafés , demain sans doute pour d'autres produits. Le but est sans doute de nous faire venir dans le magasin pour acheter des produits de marque qu'ils ont des difficultés à écouler car onéreux, pas dans l'intérêt du consommateur comme l'affirme Edouard!",2023-02-15T23:21:56.000Z,,
16,Demande de prime Energie refusée,1,Demande de prime Energie refusée aprés avoir fait duré le plaisir et demandé moultes documents en plus. Au final refus pour un critère qui n'était pas demandé au départ.,2023-02-18T16:27:33.000Z,,
17,déjà plus de prospectus malgré l'arrêt programmé au mois de septembre 2023,1,"Niort centre ville
impossible de mettre zéro
malgré la pub, les prospectus ne sont plus disponibles dans les boites et encore moins en magasin

alors impossible de profiter des promos qui de toutes façons sont de moins en moins présentes, tant pis pour eux, on fera les courses ailleurs

et rien ne change , chaque semaine les mêmes produits augmentent toujours",2023-02-06T17:39:58.000Z,,
18,Difficile de faire pire!,1,Livraison annoncée en 2j il en aura fallu 5j et mauvais article livré... impossible d'avoir une nouvelle livraison sans avoir le processus de retour finalisé et comme il s'agissait d'une promo... je l'ai dans... bref pure perte de temps et 300eur immobilisés sur leur compte j'espère pas trop longtemps. 2ème expérience catastrophique sur ce site (sur deux). Ce sera la dernière!,2023-02-04T17:19:02.000Z,,
19,Pré commande non respectée,1,"J'ai passé une pré commande
Le délais n'a pas été respecté alors que l'article se trouvait en magasin. Le service client m'envoie balader",2023-02-20T21:55:06.000Z,,
20,Livraison catastrophique,1,"Quel est l’interêt de précommander des articles si c’est pour les recevoir 4j après tout le monde.
Il faut arrêter de proposer un service de livraison si on n’est pas capable de respecter les délais annoncés.",2023-02-11T12:57:47.000Z,,
21,Horrible,1,"Horrible expérience. J'ai commandé une paire de airpods début décembre pour les offrir à Noël, il etait indiqué livraison en 24h. Jamais arrivés, et aucune nouvelle de leur part. Par contre j'ai bien été débitée. Ça ils n'oublient pas de le faire. Nous sommes en février et je nai toujours pas été remboursée, malgré mes innombrables mails et appels téléphoniques. Une arnaque bien rodée qu'il faut signaler à la répression des fraudes + plainte si cela vous arrive,  car je ne suis pas la seule victime malheureusement.",2023-02-03T10:25:07.000Z,,
22,Leclerc escroque les étudiants,1,"Leclerc Paris 15 chez moi ! Des escrocs !
Il manquait pour 30 euros de marchandises. Impossible de joindre le service client. Aucune réponse aux mails. 
Je résilie mon compte client et je n’irai plus jamais faire mes courses à cet endroit.",2023-02-07T07:57:49.000Z,,
23,A fuir!! Une honte,1,"A fuir!!! Achat d un pack PS5 pour Noël, le colis a été reçu incomplet. On voit l ajout de schotch,  il y a eu un soucis pendant le transport mais non LECLERC nie l évidence. On me conseille même pour mes prochains achats de changer de mode de livraison (colissimo contre signature pourtant). A chaque appel au service client , le conseiller dit que l’on voit clairement qu’il y a eu un problème mais les mails sont pourtant tous négatifs pour me renvoyer ou rembourser les objets manquants.
Une honte pour un grand groupe, achetez sur Amazon , là une vraie service client existe.",2023-02-04T10:21:14.000Z,,
